tanggal,komoditas,harga_sebenarnya,prediksi_random_forest,prediksi_xgboost,prediksi_lightgbm,error_random_forest,error_xgboost,error_lightgbm,batas_harga_HET,status_stabilitas,harga_kemarin,harga_3_hari_lalu,harga_7_hari_lalu,harga_14_hari_lalu,rata_rata_7_hari,rata_rata_14_hari,fluktuasi_7_hari,bulan,hari_dalam_minggu
2026-05-12,Semangka,13921,14216.207030289546,13922.575,13973.839853447458,295.2070302895463,1.5751953125,52.839853447458154,14851.561029411767,Aman,13484.0,13908.0,14067.0,13580.0,13978.57142857143,13960.07142857143,306.1082908290857,5,1
2026-05-13,Semangka,13780,13664.252492922036,13912.1045,13973.839853447458,115.74750707796375,132.1044921875,193.83985344745815,14851.561029411767,Aman,13921.0,14467.0,14220.0,13608.0,13915.714285714286,13972.357142857143,293.1721418585353,5,2
2026-05-14,Semangka,13850,13891.005138778062,13945.681,13973.839853447458,41.005138778062246,95.6806640625,123.83985344745815,14851.561029411767,Aman,13780.0,13484.0,13983.0,13324.0,13896.714285714286,14009.92857142857,292.3934075213061,5,3
2026-05-15,Semangka,13758,13905.884918207768,13912.1045,13973.839853447458,147.88491820776835,154.1044921875,215.83985344745815,14851.561029411767,Aman,13850.0,13921.0,13867.0,13658.0,13881.142857142857,14017.07142857143,297.104038215277,5,4
2026-05-16,Semangka,13967,13988.325652392772,13912.1045,13973.839853447458,21.3256523927721,54.8955078125,6.839853447458154,14851.561029411767,Aman,13758.0,13780.0,13908.0,14200.0,13889.57142857143,14000.42857142857,298.82484119346776,5,5
2026-05-17,Semangka,14083,13803.309336312574,13798.066,13828.643427334076,279.6906636874264,284.93359375,254.35657266592352,14851.561029411767,Aman,13967.0,13850.0,14467.0,14400.0,13834.714285714286,13977.785714285714,190.92032743682697,5,6
2026-05-18,Semangka,13817,13785.467487638423,13901.231,13973.839853447458,31.532512361576664,84.2314453125,156.83985344745815,14851.561029411767,Aman,14083.0,13758.0,13484.0,14334.0,13882.285714285714,13940.857142857143,115.5965891736724,5,0
2026-05-19,Semangka,13807,13839.220503293534,13912.1045,13973.839853447458,32.22050329353442,105.1044921875,166.83985344745815,14851.561029411767,Aman,13817.0,13967.0,13921.0,14067.0,13866.0,13922.285714285714,117.25186565686194,5,1
2026-05-20,Semangka,13427,13734.886911597068,13798.066,13828.643427334076,307.8869115970683,371.06640625,401.6434273340765,14851.561029411767,Aman,13807.0,14083.0,13780.0,14220.0,13815.57142857143,13865.642857142857,204.1289275130598,5,2
2026-05-21,Semangka,13927,13912.619672701843,13808.537,13828.643427334076,14.380327298156772,118.462890625,98.35657266592352,14851.561029411767,Aman,13427.0,13817.0,13850.0,13983.0,13826.57142857143,13861.642857142857,208.32495221240083,5,3
2026-05-22,Semangka,13947,13915.734475031022,13798.066,13828.643427334076,31.265524968977843,148.93359375,118.35657266592352,14851.561029411767,Aman,13927.0,13807.0,13758.0,13867.0,13853.57142857143,13867.357142857143,210.195827062052,5,4
2026-05-23,Semangka,13733,13935.382992245288,13831.643,13828.643427334076,202.38299224528782,98.642578125,95.64342733407648,14851.561029411767,Aman,13947.0,13427.0,13967.0,13908.0,13820.142857142857,13854.857142857143,207.74297306324456,5,5
2026-05-24,Semangka,14208,13984.607761781703,13798.066,13828.643427334076,223.39223821829728,409.93359375,379.3565726659235,14851.561029411767,Aman,13733.0,13927.0,14083.0,14467.0,13838.0,13836.357142857143,237.36399614659433,5,6
2026-05-25,Semangka,13947,13863.22353722738,13773.048,13828.643427334076,83.7764627726192,173.9521484375,118.35657266592352,14851.561029411767,Aman,14208.0,13947.0,13817.0,13484.0,13856.57142857143,13869.42857142857,240.51185496970172,5,0
2026-05-26,Semangka,13687,13879.106329582766,13798.066,13828.643427334076,192.1063295827662,111.06640625,141.64342733407648,14851.561029411767,Aman,13947.0,13733.0,13807.0,13921.0,13839.42857142857,13852.714285714286,248.76887341660375,5,1
2026-05-27,Semangka,14875,14122.334845392526,14042.327,14099.78973905144,752.6651546074736,832.6728515625,775.2102609485592,14851.561029411767,Aman,13687.0,14208.0,13427.0,13780.0,14046.285714285714,13930.92857142857,402.9262605348433,5,2
2026-05-28,Semangka,14525,14039.998301882732,14157.146,14099.78973905144,485.00169811726846,367.853515625,425.21026094855915,14851.561029411767,Aman,14875.0,13947.0,13927.0,13850.0,14131.714285714286,13979.142857142857,435.4976901147261,5,3
2026-05-29,Semangka,13767,14100.858314498335,14157.146,14099.78973905144,333.85831449833495,390.146484375,332.78973905144085,14851.561029411767,Aman,14525.0,13687.0,13947.0,13758.0,14106.0,13979.785714285714,453.1773015792932,5,4
